Chromosome,R2 Score,IQS Score,Accuracy Score,AUC Score
1,0.9052176705408894,0.9159971956914554,0.9630738522954092,0.9539948398335256
2,0.8940969529804397,0.9074900076861341,0.9601748883186009,0.953680974082896
3,0.9473831542142984,0.959264142357636,0.9825349301397206,0.9729761321176361
4,0.7977388810420553,0.8704736819105168,0.9250589729631645,0.9342395135303304
5,0.9186833044401068,0.9440447953173356,0.9712340025830691,0.9688537947518215
6,0.9060670953662753,0.9112195716592264,0.9498003992015968,0.957357507169247
7,0.8278421167553633,0.8816102256266288,0.9411177644710579,0.9382368152993623
8,0.9347931453271566,0.9431359529253767,0.9688242562494059,0.9706180496150977
9,0.9026970904616382,0.9097134515443505,0.9580838323353293,0.9520113625825983
10,0.9086388979734805,0.9230788938464227,0.9636282989576402,0.9657301889242558
11,0.9473177957704191,0.9610447209449251,0.9866582624225234,0.9774844976125804
12,0.9128076199964339,0.9260235496524108,0.9685335211929083,0.9641034457488702
13,0.8250896783614085,0.8768014162648763,0.9808383233532935,0.9387710848731913
14,0.9637332326330212,0.9646744575720587,0.9820359281437125,0.9823874797030226
15,0.8638957412887711,0.8929332745395454,0.9720558882235529,0.9517076174798752
16,0.9104659953099901,0.9191227553828826,0.959652124322783,0.9601314548008081
17,0.9069606082722331,0.9374808265949031,0.9889110667553781,0.977479617296115
18,0.9696019660335096,0.9676611667621781,0.9793745841650033,0.9838667617075513
19,0.963304170909122,0.9671274687352941,0.9826062161391502,0.9860633518947106
20,0.8535352300657464,0.8804121008231474,0.9505988023952096,0.9316452411753496
21,0.9556295762961987,0.9529595917891872,0.9885229540918163,0.9797032201668122
22,0.9158655333494236,0.9222048222362521,0.9620758483033932,0.953128027025833
